"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"377",377,"HED_377",1,"Unspecified","Unspecified","Hepatitis G","Unspecified","Unspecified","Chicago","1",1,"GGv2. ""Chicago, US, Illinois""","GGv2. ""Chicago, US, Illinois""","no",0,0,0,"virus","Transmitted by infected blood or blood products  HGV/GBV-C can be transmitted by sharing personal items contaminated with the virus and other similar behaviours (parenterally), from mother-to-newborn child at birth (vertical), or various sexual activities.","transmission of blood or blood products","indirect contact","fomites","None","","","None","1964",1964,"1960","Alter HJ. The cloning and clinical implications of HGV and HGBVC. N Engl J Med 1996; 334: 1536–1537. Simons JN, Leary TP, Dawson GJ, et al. Isolation of novel virus-like sequences associated with human hepatitis. Nat Med 1995;1:564-569. HOWARD, COLIN R (2002) Hepatitis viruses: A Pandora's box?. Journal of Gastroenterology and Hepatology 17 (s4), S464-S4","","Alter HJ. The cloning and clinical implications of HGV and HGBVC. N Engl J Med 1996; 334: 1536–1537.","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_377.shp",FALSE
"378",378,"HED_378",1,"Unspecified","Unspecified","Human astrovirus","Unspecified","Unspecified","Ruchill Hospital, Glasgow","1",1,"multimap.com/.""Ruchill Hospital, Glasgow""","multimap.com/.""Ruchill Hospital, Glasgow""","no",0,0,0,"virus","fecal-oral route usually by person-to-person contacts, but also by fomites and contaminated food and water.  The person-to-person fecal-oral mode of transmission is most often seen in nosocomial, day-care center, and family outbreaks.  Reports of transmission via contaminated water and food such as oysters have been reported also.","hands","indirect contact","ingestion of contaminated food","ingestion of contaminated water","y","nosocomial","None","1975",1975,"1970","Appleton H, Higgins PG. Viruses and gastroenteritis in infants. Lancet 1975; i: 1297. Madeley CR and Cosgrove BP 1975. Lancet ii:124, 451-2.","","Desselberger U. Emerging and Re-emerging Infectious Diseases. Journal of Infection (2000) 40, 3–15","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_378.shp",FALSE
"379",379,"HED_379",1,"Unspecified","Unspecified","Human enterovirus B","Echovirus type 13","Unspecified","Canary Islands, Spain","3",1,"DCWIslands. ""CanaryIslands""","DCWIslands. ""CanaryIslands""","no",0,0,0,"virus","fecal-oral route","hand contact","indirect contact","ingestion of contaminated food","fomites","y","","None","Feb-00",2000,"2000","Trallero G, Casas I, Avellon A, Perez C, Tenorio A, De La Loma A. First epidemic of aseptic meningitis due to echovirus type 13 among Spanish children. Epidemiol Infect 2003; 130:2516.","","Avellón A, Casas I, Trallero G, Pérez C, Tenorio A, Palacios G. Molecular analysis of echovirus 13 isolates and aseptic meningitis, Spain. Emerg Infect Dis [serial online] 2003 Aug [date cited]. Available from: URL: http://www.cdc.gov/ncidod/EID/vol9no8/0","tourist travel","travel","international travel and commerce","international travel and commerce","international travel and commerce","None","None","None","Unspecified","Unspecified","Mullins 2003","",1,1,1,1,"HED_379.shp",FALSE
"380",380,"HED_380",1,"Unspecified","Unspecified","Human Herpesvirus 1","Idoxuridine-res","Unspecified","Gainesville, FL","1",1,"GGv2. ""Gainesville, US, Florida""","GGv2. ""Gainesville, US, Florida""","no",0,0,0,"virus","Type 1 - contact with saliva of carriers, infection of hands of health care personnel ( ie dentist)","saliva contact","direct contact","hands","None","","","None","1963",1963,"1960","Field, H. J. 2001. Herpes Simplex Virus Antiviral Drug Resistance--Current Trends and Future Prospects. Journal of Clinical Virology 21:261-269. phenotypes of drug-resistant herpes simplex virus mutants. Smith KO. Some biologic aspects of herpesvirus-cell interactions in the presence of 5-iodo,2-deoxyuridine (IDU). J Immunol 1963;91:582–90.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","resistance has been demonstrated to antiviral drugs","antiviral resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_380.shp",FALSE
"381",381,"HED_381",1,"Unspecified","Unspecified","Human Herpesvirus 1","Acyclovir-res","Unspecified","North Carolina","3",1,"ESRIAdmin00. ""North Carolina, US""","ESRIAdmin00. ""North Carolina, US""","no",0,0,0,"virus","Type 1 - contact with saliva of carriers, infection of hands of health care personnel ( ie dentist)","saliva contact","direct contact","hands","None","","","None","1980",1980,"1980","Crumpacker CS, Schnipper LE, Marlowe SI, Kowalsky PN, Hershey BJ, Levin MJ. Resistance to antiviral drugs of herpes simplex virus isolated from a patient treated with acyclovir. N Engl J Med. 1982 Feb 11;306(6):343-6.    Sibrack CD, Gutman LT, Wilfert CM, McLaren C, St Clair MH, Keller PM, Barry DW. Pathogenicity of acyclovir-resistant herpes simplex virus type 1 from an immunodeficient child. J Infect Dis. 1982 Nov;146(5):673-82.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","resistance has been demonstrated to antiviral drugs","antiviral resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,1,1,1,"HED_381.shp",FALSE
"382",382,"HED_382",1,"Unspecified","Unspecified","Human Herpesvirus 3","acyclovir-resistance","Varicella Zoster","Suffolk County, NY","3",1,"ESRICounties. ""SuffolkCounty US""","ESRICounties. ""SuffolkCounty US""","no",0,0,0,"virus","By direct contact, droplet or airbone spread of secretions of respiratory tract (varicella) or vesicle fluid (zoster); indirectly via contaminated fomites; scabs are not infective","airborne route via respiratory secretions","indirect contact","direct contact with lesions","None","yes","","None","1986",1986,"1980","Pahwa S, Biron K, Lim W, Swenson P, Kaplan MH, Sadick N, Pahwa R. Continuous varicella-zoster infection associated with acyclovir resistance in a child with AIDS. JAMA. 1988 Nov 18;260(19):2879-82.","","Linnemann CC Jr, Biron KK, Hoppenjans WG, Solinger AM. Emergence of acyclovir-resistant varicella zoster virus in an AIDS patient on prolonged acyclovir therapy. AIDS. 1990 Jun;4(6):577-9.","immunocompromised patients","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_382.shp",FALSE
"383",383,"HED_383",1,"Unspecified","Unspecified","Human Herpesvirus 5/CMV","ganciclovir-resistance","Unspecified","University of Minnesota Health Sciences Center, Minneapolis, MN","1",1,"multimap.com/ ""University of Minnesota Health Sciences Center, Minneapolis, MN""","multimap.com/ ""University of Minnesota Health Sciences Center, Minneapolis, MN""","no",0,0,0,"virus","Intimate exposure by mucosal contact with infectious tissues, secretions, and excretions.  CMV is excreted in urine, saliva, breast milk, cervical secretions, and semen during primary and reactivated infections.  The fetus may be infected in utero from either a primary or reactivated maternal infection;postnatal infection occurs more commonly in infants born to mothers shedding CMV in cervical secretions at delivery; virus can be transmitted to infants through infected breast milk; blood transfusion transmission; CMV is excreted by a large number of children in day care centers, which may represent a community reservoir; transmission through sexual intercourse is also common and is reflected by almost universal infection of men who have many male sexual partners.","Intimate mucosal contact","direct contact","Transplacental transmission","Breast milk","","","None","1989",1989,"1980","Erice A, Chou S, Biron KK, Stanat SC, Balfour HH Jr, Jordan MC. Progressive disease due to ganciclovir-resistant cytomegalovirus in immunocompromised patients. N Engl J Med 1989; 320(5):289-93. Hong CCDR 2001","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","resistance has been demonstrated to antiviral drugs","antiviral resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_383.shp",FALSE
"384",384,"HED_384",1,"Unspecified","Unspecified","Human Herpesvirus 5/CMV","foscarnet-resistance","Unspecified","Milwaukee, WI","1",1,"GGv2. ""Milwaukee, US, Wisconsin""","GGv2. ""Milwaukee, US, Wisconsin""","no",0,0,0,"virus","Intimate exposure by mucosal contact with infectious tissues, secretions, and excretions.  CMV is excreted in urine, saliva, breast milk, cervical secretions, and semen during primary and reactivated infections.  The fetus may be infected in utero from either a primary or reactivated maternal infection;postnatal infection occurs more commonly in infants born to mothers shedding CMV in cervical secretions at delivery; virus can be transmitted to infants through infected breast milk; blood transfusion transmission; CMV is excreted by a large number of children in day care centers, which may represent a community reservoir; transmission through sexual intercourse is also common and is reflected by almost universal infection of men who have many male sexual partners.","Intimate mucosal contact","direct contact","Transplacental transmission","Breast milk","","","None","1991",1991,"1990","Knox KK, Drobyski WR, Carrigan DR. Cytomegalovirus isolate resistant to ganciclovir and foscarnet from a marrow transplant patient. Lancet. 1991 May 25;337(8752):1292-3.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","resistance has been demonstrated to antiviral drugs","antiviral resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_384.shp",FALSE
"385",385,"HED_385",1,"Unspecified","Unspecified","Human Herpesvirus 6","Unspecified","Unspecified","Philadelphia, PA","1",1,"GGv2. ""Philadelphia, US, Pennsylvania""","GGv2. ""Philadelphia, US, Pennsylvania""","no",0,0,0,"virus","The exact mode of transmission of HHV-6 has yet to be proven. Most children seem to acquire infection through contact with adult caretaker's saliva. Studies have shown through DNA restriction enzyme profiles that mothers' isolates were genetically similar to their infants'; transplacental. Seroepidemiologic studies have shown that primary infection due to HHV-6 is usually acquired during the first year of life, saliva being the most likely mode of transmission.","saliva contact","direct contact","transplacental transmission","None","","","None","1986",1986,"1980","Yamanishi K, Okuno T, Shiraki K et al. Identification of human herpesvirus-6 as a causal agent for exanthema subitum. Lancet 1988;1:1065-67 Health Canada. Expert Working Group on HHV-6 and 7 Laboratory Diagnosis and Testing. CCDR 2000;26S4:1-23 Salahuddin SZ, Ablashi DV, Markham PD, et al Isolation of a new virus, HBLV, in patients with lymphoproliferative disorders. Science 1986, 234: 596-601. Downing RG, Sewankambo N, Serwadda D, et al Isolation of human lymphotropic herpesviruses from Uganda. Lancet 1987; ii: 390 Tedder RS, Briggs M, Cameron CH, Honess R, Robertson D, Whittle H. A novel lymphotropic herpesvirus Lancet 1987; ii. 390-92. Hong CCRD 2001","","http://www.ihmf.org/journal/download/63Menotti(78).pdf; IOM 2003","immunosuppressed individuals, mainly affectingtransplant recipients and individuals with AIDS; new diagnostic tools","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","new diagnostic tools","None","None","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_385.shp",FALSE
"386",386,"HED_386",1,"Unspecified","Unspecified","Human Herpesvirus 7","Unspecified","Unspecified","Newcastle upon Tyne, UK","1",1,"GGv2. ""NewCastle upon Tyne, UK""","GGv2. ""NewCastle upon Tyne, UK""","no",0,0,0,"virus","The exact mode of transmission of HHV-7 has yet to be proven. Most children seem to acquire infection through contact with adult caretaker's saliva. Studies have shown through DNA restriction enzyme profiles that mothers' isolates were genetically similar to their infants'; transplacental. Seroepidemiologic studies have shown that primary infection due to HHV-6 is usually acquired during the first year of life, saliva being the most likely mode of transmission.","saliva contact","direct contact","transplacental transmission","None","","","None","1990s",1990,"1990","Osman HK, Peiris JS, Taylor CE, Warwicker P, Jarrett RF, Madeley CR. “Cytomegalovirus disease” in renal allograft recipients: is human herpesvirus 7 a co-factor for disease progression? J Med Virol. 1996;48:295-301. Hong CCRD 2001. Frenkel N, Schirmer EC, Wyatt LS et al. Isolation of a new herpesvirus from CD4+ T cells. Proc Natl Acad Sci USA 1990;87:748-52.","","http://www.ihmf.org/journal/download/63Menotti(78).pdf","immunosuppressed individuals, mainly affecting solid organ transplant recipients and individuals with AIDS","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Hall, C. B. (1997). Human herpesviruses at sixes, sevens, and more. Ann Intern Med 127, 481–483, Levy, J. A. (1997). Three new human herpesviruses (HHV6, 7, and 8). Lancet 349, 558–563","email Salahuddin paper",1,1,1,1,"HED_386.shp",FALSE
